0, 0, Header, 1, 5, 480
1, 0, Start_track
1, 0, Tempo, 869565
1, 0, Key_signature, -2, "minor"
1, 0, Time_signature, 4, 2, 48, 8
1, 0, Title_t, "Fuga"
1, 0, Title_t, "BWV 578"
1, 132480, End_track
2, 0, Start_track
2, 0, Title_t, "Fuga"
2, 0, Title_t, "BWV 578"
2, 0, Text_t, "O:Germany"
2, 0, Text_t, "Z:Transcribed by Frank Nordberg - http://www.musicaviva.com"
2, 0, Text_t, " %MIDI program 1 58"
2, 0, Text_t, " %MIDI program 2 58"
2, 0, Text_t, " %MIDI program 3 58"
2, 0, Text_t, " %MIDI program 4 58"
2, 0, Text_t, ""
2, 0, Text_t, "%staves \011{1 2 3} | 4"
2, 0, Text_t, "%maxshrink\011.81"
2, 0, Text_t, "%staffsep\01165pt"
2, 0, Text_t, "%sysstaffsep\01135pt"
2, 0, Text_t, "%measurenb\0110"
2, 0, Program_c, 0, 58
2, 0, Note_on_c, 0, 67, 105
2, 479, Note_off_c, 0, 67, 0
2, 480, Note_on_c, 0, 74, 80
2, 959, Note_off_c, 0, 74, 0
2, 960, Note_on_c, 0, 70, 95
2, 1679, Note_off_c, 0, 70, 0
2, 1680, Note_on_c, 0, 69, 80
2, 1919, Note_off_c, 0, 69, 0
2, 1920, Note_on_c, 0, 67, 105
2, 2159, Note_off_c, 0, 67, 0
2, 2160, Note_on_c, 0, 70, 80
2, 2399, Note_off_c, 0, 70, 0
2, 2400, Note_on_c, 0, 69, 80
2, 2639, Note_off_c, 0, 69, 0
2, 2640, Note_on_c, 0, 67, 80
2, 2879, Note_off_c, 0, 67, 0
2, 2880, Note_on_c, 0, 66, 95
2, 3119, Note_off_c, 0, 66, 0
2, 3120, Note_on_c, 0, 69, 80
2, 3359, Note_off_c, 0, 69, 0
2, 3360, Note_on_c, 0, 62, 80
2, 3839, Note_off_c, 0, 62, 0
2, 3840, Note_on_c, 0, 67, 105
2, 4079, Note_off_c, 0, 67, 0
2, 4080, Note_on_c, 0, 62, 80
2, 4319, Note_off_c, 0, 62, 0
2, 4320, Note_on_c, 0, 69, 80
2, 4559, Note_off_c, 0, 69, 0
2, 4560, Note_on_c, 0, 62, 80
2, 4799, Note_off_c, 0, 62, 0
2, 4800, Note_on_c, 0, 70, 95
2, 5039, Note_off_c, 0, 70, 0
2, 5040, Note_on_c, 0, 69, 80
2, 5159, Note_off_c, 0, 69, 0
2, 5160, Note_on_c, 0, 67, 80
2, 5279, Note_off_c, 0, 67, 0
2, 5280, Note_on_c, 0, 69, 80
2, 5519, Note_off_c, 0, 69, 0
2, 5520, Note_on_c, 0, 62, 80
2, 5759, Note_off_c, 0, 62, 0
2, 5760, Note_on_c, 0, 67, 105
2, 5999, Note_off_c, 0, 67, 0
2, 6000, Note_on_c, 0, 62, 80
2, 6119, Note_off_c, 0, 62, 0
2, 6120, Note_on_c, 0, 67, 80
2, 6239, Note_off_c, 0, 67, 0
2, 6240, Note_on_c, 0, 69, 80
2, 6479, Note_off_c, 0, 69, 0
2, 6480, Note_on_c, 0, 62, 80
2, 6599, Note_off_c, 0, 62, 0
2, 6600, Note_on_c, 0, 69, 80
2, 6719, Note_off_c, 0, 69, 0
2, 6720, Note_on_c, 0, 70, 95
2, 6959, Note_off_c, 0, 70, 0
2, 6960, Note_on_c, 0, 69, 80
2, 7079, Note_off_c, 0, 69, 0
2, 7080, Note_on_c, 0, 67, 80
2, 7199, Note_off_c, 0, 67, 0
2, 7200, Note_on_c, 0, 69, 80
2, 7319, Note_off_c, 0, 69, 0
2, 7320, Note_on_c, 0, 62, 80
2, 7439, Note_off_c, 0, 62, 0
2, 7440, Note_on_c, 0, 74, 80
2, 7559, Note_off_c, 0, 74, 0
2, 7560, Note_on_c, 0, 72, 80
2, 7679, Note_off_c, 0, 72, 0
2, 7680, Note_on_c, 0, 70, 105
2, 7799, Note_off_c, 0, 70, 0
2, 7800, Note_on_c, 0, 69, 80
2, 7919, Note_off_c, 0, 69, 0
2, 7920, Note_on_c, 0, 67, 80
2, 8039, Note_off_c, 0, 67, 0
2, 8040, Note_on_c, 0, 70, 80
2, 8159, Note_off_c, 0, 70, 0
2, 8160, Note_on_c, 0, 69, 80
2, 8279, Note_off_c, 0, 69, 0
2, 8280, Note_on_c, 0, 67, 80
2, 8399, Note_off_c, 0, 67, 0
2, 8400, Note_on_c, 0, 66, 80
2, 8519, Note_off_c, 0, 66, 0
2, 8520, Note_on_c, 0, 69, 80
2, 8639, Note_off_c, 0, 69, 0
2, 8640, Note_on_c, 0, 67, 95
2, 8759, Note_off_c, 0, 67, 0
2, 8760, Note_on_c, 0, 62, 80
2, 8879, Note_off_c, 0, 62, 0
2, 8880, Note_on_c, 0, 67, 80
